Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2022-09-14,105.37092590332031,105.59983741872482,104.00738142280314,104.94295264253238,22115800
2022-09-15,103.41020202636719,105.7093099253704,102.82297942235097,104.51496993474163,26494900
2022-09-16,103.14146423339844,103.5395800702044,101.37483802148174,102.4845795570824,64540100
2022-09-19,103.36042785644531,103.52962461845951,101.88740913837313,102.05660590038732,19738600
2022-09-20,101.3499526977539,102.68363199676537,100.64330070587691,102.39499820964471,24001700
2022-09-21,99.53853607177734,103.00212644130289,99.5186261032401,101.75801917770903,26596800
2022-09-22,100.09590148925781,101.20066943281867,98.94137380733588,98.98117856065326,21272700
2022-09-23,98.70249938964844,99.63807055141359,97.54797171167087,99.58830321979381,25657000
2022-09-26,98.34420013427734,99.966521057017,97.9162268814197,98.14514598601151,22437900
2022-09-27,97.62757873535156,99.98640877290106,96.88111439866945,99.43900614872426,24225000
2022-09-28,100.26509857177734,100.92199090493601,97.33896321464246,97.55791973226661,24617000
2022-09-29,97.62757873535156,98.83188121408192,96.06498036096747,98.83188121408192,21921500
2022-09-30,95.69673156738281,99.02496905742883,95.57729453727607,97.26928496002856,26277800
2022-10-03,98.8318862915039,99.49872597744233,96.56262821292925,96.76168993566122,24840000
2022-10-04,101.9272232055664,102.23575937603874,100.56367891546137,100.56367891546137,22580900
2022-10-05,101.73811340332031,102.25565866657473,99.2698013337131,100.21532737850934,18475500
2022-10-06,101.75801849365234,103.2409998091553,101.02150912471575,101.02150912471575,17156200
2022-10-07,99.10061645507812,100.94189384574065,98.74231292470361,100.17552704620165,24249900
2022-10-10,98.24465942382812,99.51862402013333,97.40862300503832,99.37928461700169,16529900
2022-10-11,97.58777618408203,99.64801749598684,96.79154450298445,97.78683030764239,21617700
2022-10-12,97.83660125732422,99.17824614644113,97.20956631738184,97.80673630359924,17343400
2022-10-13,99.23995208740234,100.05608618802648,94.82088044364659,95.47777275541719,32812200
2022-10-14,96.72188568115234,100.81251140594685,96.57259127497312,100.15064536018114,22624800
2022-10-17,100.3049087524414,101.29023963747129,99.04089903879125,99.05084643022157,23311600
2022-10-18,100.91203308105469,103.72869389685495,100.17552366831033,103.45001507005593,21610500
2022-10-19,99.81722259521484,101.17976466249833,99.16531155367703,100.22528586061577,21573700
2022-10-20,100.05608367919922,102.51444090418003,99.49872604204442,100.34471748227675,25125100
2022-10-21,101.00161743164062,101.14095685148868,97.76693822594267,97.99584973279497,28988700
2022-10-24,102.48458862304688,102.61397305424748,99.82717713693695,101.60873218590838,24680800
2022-10-25,104.43534851074219,104.60454528924555,102.53434882019566,102.81303524726017,29910200
2022-10-26,94.37300872802734,98.07547349073133,94.12418725304379,96.30386580379698,71504300
2022-10-27,92.16346740722656,94.72135171622803,91.46677035552513,93.86540528503579,54036500
